alpha,train_rmse,test_rmse,train_r2,test_r2
630.0,1676.697497779217,2358.0681979865253,0.9998071907289819,0.9997724743386363
640.0,1686.8189535035333,2371.227613472578,0.9998048559003196,0.9997699277972326
650.0,1697.1762183743158,2382.2243386804653,0.9998024521281775,0.9997677888988887
660.0,1707.472801524766,2395.6608900071483,0.9998000478541829,0.9997651620130964
670.0,1718.0193218616043,2406.8777777595037,0.9997975701431888,0.9997629577628036
680.0,1728.4985448437908,2420.5035701990705,0.9997950931312718,0.9997602662835277
690.0,1739.2215669820046,2431.9157715750457,0.9997925428991007,0.999758000359135
700.0,1749.8859688377672,2445.667766766439,0.9997899909656963,0.9997552557020546
710.0,1760.77116513616,2457.3083794211125,0.9997873701096831,0.9997529203450436
720.0,1771.6236739590943,2471.0609501288614,0.9997847409445189,0.9997501469943144
730.0,1782.6473373245112,2483.1992827187782,0.9997820537756335,0.9997476863122088
740.0,1793.6869949804186,2496.9424643360194,0.9997793460029789,0.999744885740787
750.0,1804.8984585159824,2509.0288202286856,0.9997765789809987,0.999742410021527
760.0,1816.220699735737,2520.995810878278,0.9997737671209607,0.9997399469743725
770.0,1827.4470385233262,2535.2402824609226,0.9997709617170911,0.9997369998982714
780.0,1838.8945503935927,2547.6131828894336,0.9997680832417857,0.9997344265606432
790.0,1850.294565189777,2561.874949655702,0.9997651988462557,0.9997314448301442
800.0,1861.9018763049176,2574.149491679049,0.9997622436858762,0.9997288652439624
810.0,1873.5968420128477,2586.5622864757543,0.9997592475188191,0.9997262440639744
820.0,1885.1910224233336,2601.0787529084378,0.9997562586534701,0.9997231626610211
830.0,1897.0110346554811,2613.639160986629,0.9997531925900578,0.9997204825534037
840.0,1908.7917326860595,2628.1178398644015,0.9997501176561764,0.9997173771109711
850.0,1920.7084470409955,2640.9932445998747,0.9997469878524461,0.9997146011336904
860.0,1932.7335259540396,2653.738397242674,0.999743809842597,0.999711839877787
870.0,1944.7383051454783,2668.1833458833717,0.9997406174131509,0.9997086942875433
880.0,1956.8540444872049,2681.1494543048534,0.9997373754334404,0.9997058561925375
890.0,1968.5647680030895,2694.1161728795437,0.999734222693074,0.9997030042046375
900.0,1979.3353250574085,2709.034488822408,0.9997313064561831,0.9996997059472713
910.0,1988.7299134619113,2722.702082512797,0.9997287497840284,0.999696668222505
920.0,2000.0114977971773,2738.282693738847,0.9997256635812595,0.9996931866686315
930.0,2009.2914097998992,2751.272682449501,0.9997231118718966,0.9996902688142981
940.0,2018.8329068217838,2764.946905087536,0.9997204759176688,0.9996871823457506
950.0,2030.2696245041484,2780.6268683428266,0.9997172999311164,0.9996836243191491
960.0,2039.9783316801438,2793.948146639173,0.9997145897348063,0.999680585706592
970.0,2049.6852015186596,2807.6588645068427,0.9997118671258722,0.9996774430965479
980.0,2061.3546149716926,2823.450388156807,0.9997085769494136,0.999673804485352
990.0,2071.3241728109842,2837.4523020433894,0.9997057512495634,0.9996705611582224
1000.0,2081.391666645409,2851.0833345020637,0.9997028839566134,0.9996673883275298
