code,name,year,gcse
E10000014,hampshire,2011,58.5
E10000015,hertfordshire,2011,65.8
E10000016,kent,2011,61.3
E10000017,lancashire,2011,59.9
E10000018,leicestershire,2011,56.9
E10000019,lincolnshire,2011,62.1
E10000020,norfolk,2011,55.6
E10000021,northamptonshire,2011,56.2
E10000023,north yorkshire,2011,65.6
E10000024,nottinghamshire,2011,60.6
E10000025,oxfordshire,2011,57.9
E10000027,somerset,2011,56.5
E10000028,staffordshire,2011,58.7
E10000029,suffolk,2011,50.5
E10000030,surrey,2011,64.2
E10000031,warwickshire,2011,63.1
E10000032,west sussex,2011,57.5
E10000034,worcestershire,2011,60.7
E06000001,hartlepool,2012,59.0
E06000002,middlesbrough,2012,50.3
E06000003,redcar and cleveland,2012,55.1
E06000004,stockton-on-tees,2012,57.4
E06000005,darlington,2012,64.8
E06000006,halton,2012,62.5
E06000007,warrington,2012,65.7
E06000008,blackburn with darwen,2012,59.5
E06000009,blackpool,2012,46.1
E06000010,"kingston upon hull, city of",2012,50.0
E06000011,east riding of yorkshire,2012,61.0
E06000012,north east lincolnshire,2012,58.5
E06000013,north lincolnshire,2012,56.8
E06000014,york,2012,67.4
E06000015,derby,2012,55.6
E06000016,leicester,2012,54.8
E06000017,rutland,2012,67.2
E06000018,nottingham,2012,50.3
E06000019,"herefordshire, county of",2012,56.1
E06000020,telford and wrekin,2012,58.6
E06000021,stoke-on-trent,2012,49.9
E06000022,bath and north east somerset,2012,63.6
E06000023,"bristol, city of",2012,52.3
E06000024,north somerset,2012,58.5
E06000025,south gloucestershire,2012,56.7
E06000026,plymouth,2012,60.8
E06000027,torbay,2012,60.9
E06000028,bournemouth,2012,63.0
E06000029,poole,2012,62.3
E06000030,swindon,2012,56.4
E06000031,peterborough,2012,56.2
E06000032,luton,2012,58.7
E06000033,southend-on-sea,2012,61.9
E06000034,thurrock,2012,59.5
E06000035,medway,2012,60.9
E06000036,bracknell forest,2012,54.9
E06000037,west berkshire,2012,61.3
E06000038,reading,2012,63.6
E06000039,slough,2012,71.4
E06000040,windsor and maidenhead,2012,68.3
E06000041,wokingham,2012,70.6
E06000042,milton keynes,2012,61.3
E06000043,brighton and hove,2012,62.2
E06000044,portsmouth,2012,47.6
E06000045,southampton,2012,58.1
E06000046,isle of wight,2012,48.7
E06000047,county durham,2012,63.1
E06000048,northumberland,2012,55.2
E06000049,cheshire east,2012,62.4
E06000050,cheshire west and chester,2012,63.0
E06000051,shropshire,2012,60.4
E06000052,cornwall,2012,59.6
E06000053,isles of scilly,2012,81.0
E06000054,wiltshire,2012,61.0
E06000055,bedford,2012,59.7
E06000056,central bedfordshire,2012,57.7
E08000001,bolton,2012,60.7
E08000002,bury,2012,62.3
E08000003,manchester,2012,53.1
E08000004,oldham,2012,57.0
E08000005,rochdale,2012,56.2
E08000006,salford,2012,54.8
E08000007,stockport,2012,65.8
E08000008,tameside,2012,59.4
E08000009,trafford,2012,70.5
E08000010,wigan,2012,63.8
E08000011,knowsley,2012,43.7
E08000012,liverpool,2012,56.0
E08000013,st. helens,2012,55.5
E08000014,sefton,2012,60.9
E08000015,wirral,2012,66.2
E08000016,barnsley,2012,50.3
E08000017,doncaster,2012,56.6
E08000018,rotherham,2012,63.6
E08000019,sheffield,2012,57.3
E08000020,gateshead,2012,61.7
E08000021,newcastle upon tyne,2012,57.3
E08000022,north tyneside,2012,64.8
E08000023,south tyneside,2012,59.2
E08000024,sunderland,2012,60.1
E08000025,birmingham,2012,59.8
E08000026,coventry,2012,56.4
E08000027,dudley,2012,59.7
E08000028,sandwell,2012,54.1
E08000029,solihull,2012,67.1
E08000030,walsall,2012,58.7
E08000031,wolverhampton,2012,61.0
E08000032,bradford,2012,53.0
E08000033,calderdale,2012,65.7
E08000034,kirklees,2012,62.6
E08000035,leeds,2012,57.3
E08000036,wakefield,2012,66.3
E09000002,barking and dagenham,2012,60.2
E09000003,barnet,2012,71.5
E09000004,bexley,2012,66.0
