code,name,road-length,year
E06000047,county durham ua,2314.6,2018
E06000005,darlington ua,343.3,2018
E06000001,hartlepool ua,253.5,2018
E06000002,middlesbrough ua,329.1,2018
E06000057,northumberland ua ,3204.4,2018
E06000003,redcar and cleveland ua,425.4,2018
E06000004,stockton-on-tees ua,549.1,2018
E08000037,gateshead,564.9,2018
E08000021,newcastle upon tyne,610.0,2018
E08000022,north tyneside,499.7,2018
E08000023,south tyneside,350.9,2018
E08000024,sunderland,723.8,2018
E06000008,blackburn with darwen ua,344.3,2018
E06000009,blackpool ua,283.2,2018
E06000049,cheshire east ua,1792.5,2018
E06000050,cheshire west and chester ua,1515.8,2018
E06000006,halton ua,369.6,2018
E06000007,warrington ua,619.9,2018
E10000006,cumbria ,5013.5,2018
E08000001,bolton,619.0,2018
E08000002,bury,424.1,2018
E08000003,manchester,861.2,2018
E08000004,oldham ,513.5,2018
E08000005,rochdale,491.2,2018
E08000006,salford,501.9,2018
E08000007,stockport,618.9,2018
E08000008,tameside,478.4,2018
E08000009,trafford,499.6,2018
E08000010,wigan,716.5,2018
E10000017,lancashire ,4374.3,2018
E08000011,knowsley ,365.0,2018
E08000012,liverpool,891.6,2018
E08000014,sefton,615.7,2018
E08000013,st. helens,458.5,2018
E08000015,wirral,755.5,2018
E06000011,east riding of yorkshire ua,2150.5,2018
E06000010,"kingston upon hull, city of ua",476.2,2018
E06000012,north east lincolnshire ua,406.0,2018
E06000013,north lincolnshire ua,882.5,2018
E06000014,york ua,505.5,2018
E10000023,north yorkshire ,5721.2,2018
E08000016,barnsley,756.2,2018
E08000017,doncaster,1040.4,2018
E08000018,rotherham ,757.8,2018
E08000019,sheffield,1223.1,2018
E08000032,bradford,1204.1,2018
E08000033,calderdale,716.1,2018
E08000034,kirklees ,1186.8,2018
E08000035,leeds,1889.1,2018
E08000036,wakefield,975.4,2018
E06000015,derby ua,479.6,2018
E06000016,leicester ua,515.6,2018
E06000018,nottingham ua,502.5,2018
E06000017,rutland ua,346.4,2018
E10000007,derbyshire ,3508.8,2018
E10000018,leicestershire ,2879.8,2018
E10000019,lincolnshire,5563.4,2018
E10000021,northamptonshire,2893.1,2018
E10000024,nottinghamshire ,3012.5,2018
